n_target,n_actual,seed,model_name,r2,rmse
200,200,6,CNN1D-shallow,0.34985954987357004,2.2237813516629874
400,400,6,PGSGv2,0.54102710627251,1.868452273151788
400,400,6,PGSGv2-random,0.42332088842047055,2.0943805716606385
400,400,6,PLS,0.5341412415575437,1.882416073969416
400,400,6,MLP,0.36590401784764337,2.1961701826865676
400,400,6,CNN1D-shallow,0.45128359282837727,2.042972229779129
700,700,6,PGSGv2,0.6870367689328426,1.542890654929387
700,700,6,PGSGv2-random,0.6414392031305161,1.6514669711651102
700,700,6,PLS,0.5518381729470574,1.8463155234729922
700,700,6,MLP,0.6413836708592399,1.6515948520740464
700,700,6,CNN1D-shallow,0.534515875025268,1.881659022732754
1159,1158,6,PGSGv2,0.7974893811004546,1.2411160463584807
1159,1158,6,PGSGv2-random,0.7963295399553447,1.2446651003127067
1159,1158,6,PLS,0.5683505213598066,1.8119829236579335
1159,1158,6,MLP,0.7605009440503734,1.3497097747409847
1159,1158,6,CNN1D-shallow,0.6783467575183684,1.5641646154227504
30,30,7,PGSGv2,0.060308973427607326,2.6735051806132852
30,30,7,PGSGv2-random,0.0040492216228524835,2.752373880691887
30,30,7,PLS,-0.591404663228376,3.4791952628058085
30,30,7,MLP,-1.9181708555075447,4.711333504529458
30,30,7,CNN1D-shallow,-0.3572996783607938,3.2131156930700135
60,60,7,PGSGv2,0.12529517987555872,2.5794032935858184
60,60,7,PGSGv2-random,0.063399181476116,2.6691056011776753
60,60,7,PLS,-0.16650697915040547,2.978737006434644
60,60,7,MLP,-1.352474353764158,4.230102967557235
60,60,7,CNN1D-shallow,0.145393051608406,2.5495979421609465
100,100,7,PGSGv2,0.00762939889087022,2.7474224020744846
100,100,7,PGSGv2-random,0.15946708341334737,2.5285168554791375
100,100,7,PLS,0.22862551115347074,2.422262055162453
100,100,7,MLP,-0.1207471273564642,2.919727412576596
100,100,7,CNN1D-shallow,0.15538469680733924,2.534649797915361
200,200,7,PGSGv2,0.5318611117928793,1.8870171614306726
200,200,7,PGSGv2-random,0.48940380522249105,1.970730677534551
200,200,7,PLS,0.5177301427377223,1.9152856265031328
200,200,7,MLP,0.16665984011733093,2.517674875443699
200,200,7,CNN1D-shallow,0.3629400074092528,2.2012970738102835
400,400,7,PGSGv2,0.6525470058082813,1.625685452544212
400,400,7,PGSGv2-random,0.6165162777101998,1.7078981074132757
400,400,7,PLS,0.5100312828081683,1.9305127156652149
400,400,7,MLP,0.5450846490551342,1.8601749268618686
400,400,7,CNN1D-shallow,0.51229734114065,1.926043323955669
700,700,7,PGSGv2,0.6957374614746334,1.5212925285681278
700,700,7,PGSGv2-random,0.7062571579144415,1.4947623022001222
700,700,7,PLS,0.5619529987003957,1.82536133073754
700,700,7,MLP,0.6875786372469656,1.5415543865236532
700,700,7,CNN1D-shallow,0.5426644706380874,1.8651164873122454
1159,1158,7,PGSGv2,0.8065702543645635,1.2129701697918485
1159,1158,7,PGSGv2-random,0.79755281268079,1.2409216562609486
1159,1158,7,PLS,0.5683505213598066,1.8119829236579335
1159,1158,7,MLP,0.7957951270671786,1.2462969749330128
1159,1158,7,CNN1D-shallow,0.5282597452039538,1.894261614685175
30,30,8,PGSGv2,-0.1879355795983555,3.0059720294589836
30,30,8,PGSGv2-random,-0.05994135900900832,2.8394185124284226
30,30,8,PLS,-0.29812802136934535,3.1422971572174894
30,30,8,MLP,-1.4049467831605358,4.2770194528320244
30,30,8,CNN1D-shallow,-0.007830903422324953,2.7687409609281826
60,60,8,PGSGv2,0.16560285562149957,2.5192710423767375
60,60,8,PGSGv2-random,0.17200511383139794,2.5095873550294194
60,60,8,PLS,-0.16185824929641401,2.972795692981991
60,60,8,MLP,-0.8482798046283844,3.749491291599443
60,60,8,CNN1D-shallow,-0.19808890070977236,3.018790763861794
100,100,8,PGSGv2,0.1240466906815747,2.5812434622685285
100,100,8,PGSGv2-random,0.14067717373455335,2.556622838843677
100,100,8,PLS,0.32102706156848326,2.272556674394599
100,100,8,MLP,-0.3984334535028067,3.261439993923728
